Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_Uncapped,Attrition_Numeric,Age_Group,Tenure_Group,Cluster,Persona,PCA1,PCA2
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420.0,Upto 5k,25233,1,No,13,3,3,0,0,2,3,0,0,0,0.0,1420,1,18-25,0-2 Yrs,0,Junior Core,-3.1553,0.0273
18,No,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200.0,Upto 5k,9724,1,No,12,3,1,0,0,2,3,0,0,0,0.0,1200,0,18-25,0-2 Yrs,0,Junior Core,-3.1755,0.1675
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1878.0,Upto 5k,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0.0,1878,1,18-25,0-2 Yrs,0,Junior Core,-3.1073,0.0373
18,No,Non-Travel,287,Research & Development,5,2,Life Sciences,2,Male,73,3,1,Research Scientist,4,Single,1051.0,Upto 5k,13493,1,No,15,3,4,0,0,2,3,0,0,0,0.0,1051,0,18-25,0-2 Yrs,0,Junior Core,-3.1927,0.085
18,Yes,Non-Travel,247,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904.0,Upto 5k,13556,1,No,12,3,4,0,0,0,3,0,0,0,0.0,1904,1,18-25,0-2 Yrs,0,Junior Core,-3.1035,0.0905
18,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,4,Female,97,3,1,Laboratory Technician,4,Single,1611.0,Upto 5k,19305,1,No,15,3,3,0,0,5,4,0,0,0,0.0,1611,0,18-25,0-2 Yrs,0,Junior Core,-3.1364,-0.0201
18,Yes,Travel_Frequently,544,Sales,3,2,Medical,2,Female,70,3,1,Sales Representative,4,Single,1569.0,Upto 5k,18420,1,Yes,12,3,3,0,0,2,4,0,0,0,0.0,1569,1,18-25,0-2 Yrs,0,Junior Core,-3.1399,0.0187
18,No,Non-Travel,1431,Research & Development,14,3,Medical,2,Female,33,3,1,Research Scientist,3,Single,1514.0,Upto 5k,8018,1,No,16,3,3,0,0,4,1,0,0,0,0.0,1514,0,18-25,0-2 Yrs,0,Junior Core,-3.1415,0.2222
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675.0,Upto 5k,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0.0,1675,1,18-25,0-2 Yrs,0,Junior Core,-3.0847,0.3167
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1483.0,Upto 5k,16102,1,No,14,3,4,0,1,3,3,1,0,0,0.0,1483,0,18-25,0-2 Yrs,0,Junior Core,-2.9871,0.0461
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325.0,Upto 5k,20989,0,No,21,4,1,0,1,5,4,0,0,0,0.0,2325,1,18-25,0-2 Yrs,0,Junior Core,-2.9651,-0.1205
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102.0,Upto 5k,9241,1,No,22,4,3,0,1,3,2,1,0,1,0.0,1102,1,18-25,0-2 Yrs,0,Junior Core,-3.0268,0.0499
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564.0,Upto 5k,18437,1,No,12,3,3,0,1,3,4,1,0,0,0.0,2564,1,18-25,0-2 Yrs,0,Junior Core,-2.8758,-0.0344
19,Yes,Travel_Rarely,419,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,2121.0,Upto 5k,9947,1,Yes,13,3,2,0,1,3,4,1,0,0,0.0,2121,1,18-25,0-2 Yrs,0,Junior Core,-2.9145,0.3372
19,No,Travel_Rarely,645,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,2552.0,Upto 5k,7172,1,No,25,4,3,0,1,4,3,1,1,0,0.0,2552,0,18-25,0-2 Yrs,0,Junior Core,-2.8745,0.0938
19,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,1859.0,Upto 5k,6148,1,Yes,25,4,2,0,1,2,4,1,1,0,0.0,1859,1,18-25,0-2 Yrs,0,Junior Core,-2.9457,0.1519
19,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,2994.0,Upto 5k,21221,1,Yes,12,3,4,0,1,2,3,1,0,0,1.0,2994,0,18-25,0-2 Yrs,0,Junior Core,-2.7319,0.5513
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,Upto 5k,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0.0,2926,1,18-25,0-2 Yrs,0,Junior Core,-2.7997,-0.0244
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,2836.0,Upto 5k,11757,1,No,13,3,4,0,1,0,4,1,0,0,0.0,2836,0,18-25,0-2 Yrs,0,Junior Core,-2.8108,-0.1102
20,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1009.0,Upto 5k,26999,1,Yes,11,3,4,0,1,5,3,1,0,1,1.0,1009,1,18-25,0-2 Yrs,0,Junior Core,-2.9052,0.3506
20,Yes,Travel_Rarely,500,Sales,2,3,Medical,3,Female,49,2,1,Sales Representative,3,Single,2044.0,Upto 5k,22052,1,No,13,3,4,0,2,3,2,2,2,0,2.0,2044,1,18-25,0-2 Yrs,0,Junior Core,-2.5859,0.4012
20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973.0,Upto 5k,13008,1,No,19,3,2,0,1,2,3,1,0,0,0.0,2973,1,18-25,0-2 Yrs,0,Junior Core,-2.7956,-0.0635
20,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600.0,Upto 5k,18275,1,Yes,15,3,1,0,1,2,3,1,0,0,0.0,2600,1,18-25,0-2 Yrs,0,Junior Core,-2.8315,0.0855
20,Yes,Travel_Frequently,769,Sales,9,3,Marketing,4,Female,54,3,1,Sales Representative,4,Single,2323.0,Upto 5k,17205,1,Yes,14,3,2,0,2,3,3,2,2,0,2.0,2323,1,18-25,0-2 Yrs,0,Junior Core,-2.5545,0.5126
20,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,3033.0,Upto 5k,12828,1,No,12,3,1,0,2,2,2,2,2,1,2.0,3033,0,18-25,0-2 Yrs,0,Junior Core,-2.4834,0.3624
20,No,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,2678.0,Upto 5k,5050,1,No,17,3,4,0,2,2,3,2,1,2,2.0,2678,0,18-25,0-2 Yrs,0,Junior Core,-2.5134,0.7107
20,No,Travel_Rarely,1141,Sales,2,3,Medical,3,Female,31,3,1,Sales Representative,3,Single,2783.0,Upto 5k,13251,1,No,19,3,1,0,2,3,3,2,2,2,2.0,2783,0,18-25,0-2 Yrs,0,Junior Core,-2.5096,0.3586
20,No,Travel_Rarely,727,Sales,9,1,Life Sciences,4,Male,54,3,1,Sales Representative,1,Single,2728.0,Upto 5k,21082,1,No,11,3,1,0,2,3,3,2,2,0,2.0,2728,0,18-25,0-2 Yrs,0,Junior Core,-2.5127,0.4893
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,Upto 5k,19281,1,No,14,3,4,0,0,6,3,0,0,0,3.0,1232,0,18-25,0-2 Yrs,0,Junior Core,-2.7856,0.7056
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230.0,Upto 5k,10531,1,No,17,3,1,0,3,4,4,3,2,1,0.0,3230,0,18-25,3-5 Yrs,0,Junior Core,-2.4832,-0.0096
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174.0,Upto 5k,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2.0,2174,1,18-25,3-5 Yrs,0,Junior Core,-2.4111,0.398
21,No,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610.0,Upto 5k,2851,1,No,24,4,3,0,3,3,2,3,2,2,3.0,2610,0,18-25,3-5 Yrs,0,Junior Core,-2.2722,0.7101
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716.0,Upto 5k,25422,1,No,15,3,4,0,1,0,3,1,0,0,0.0,2716,1,18-25,0-2 Yrs,0,Junior Core,-2.7819,0.0551
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447.0,Upto 5k,24444,1,No,11,3,3,0,3,2,3,3,2,1,2.0,3447,0,18-25,3-5 Yrs,0,Junior Core,-2.2718,0.707
21,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693.0,Upto 5k,8870,1,No,19,3,1,0,1,3,2,1,0,0,0.0,2693,1,18-25,0-2 Yrs,0,Junior Core,-2.782,0.1657
21,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,3,Female,36,2,1,Laboratory Technician,1,Single,1416.0,Upto 5k,17258,1,No,13,3,1,0,1,6,2,1,0,1,0.0,1416,1,18-25,0-2 Yrs,0,Junior Core,-2.9169,0.0936
21,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,4,Female,70,2,1,Research Scientist,2,Single,2070.0,Upto 5k,25326,1,Yes,11,3,3,0,2,6,4,2,2,2,2.0,2070,0,18-25,0-2 Yrs,0,Junior Core,-2.5463,0.3396
21,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625.0,Upto 5k,25308,1,No,20,4,3,0,2,2,1,2,2,2,2.0,2625,1,18-25,0-2 Yrs,0,Junior Core,-2.4857,0.4715
21,No,Travel_Rarely,546,Research & Development,5,1,Medical,3,Male,97,3,1,Research Scientist,4,Single,3117.0,Upto 5k,26009,1,No,18,3,3,0,3,2,3,2,2,2,2.0,3117,0,18-25,0-2 Yrs,0,Junior Core,-2.3765,0.3348
21,Yes,Travel_Rarely,337,Sales,7,1,Marketing,2,Male,31,3,1,Sales Representative,2,Single,2679.0,Upto 5k,4567,1,No,13,3,2,0,1,3,3,1,0,1,0.0,2679,1,18-25,0-2 Yrs,0,Junior Core,-2.7876,-0.0339
21,No,Travel_Rarely,501,Sales,5,1,Medical,3,Male,58,3,1,Sales Representative,1,Single,2380.0,Upto 5k,25479,1,Yes,11,3,4,0,2,6,3,2,2,1,2.0,2380,0,18-25,0-2 Yrs,0,Junior Core,-2.5128,0.3945
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,Upto 5k,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0.0,2935,0,18-25,0-2 Yrs,0,Junior Core,-2.7205,0.0733
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,Upto 5k,23785,1,No,15,3,3,0,1,5,3,0,0,0,0.0,2871,0,18-25,0-2 Yrs,0,Junior Core,-2.7918,-0.0229
