Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_Uncapped,Attrition_Numeric,Age_Group,Tenure_Group,FlightRiskScore_LR,FlightRiskScore_RF,Predicted_Attrition_LR,Risk_Category
18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420.0,Upto 5k,25233,1,No,13,3,3,0,0,2,3,0,0,0,0.0,1420,1,18-25,0-2 Yrs,0.5818,0.8417,1,Medium Risk
18,No,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200.0,Upto 5k,9724,1,No,12,3,1,0,0,2,3,0,0,0,0.0,1200,0,18-25,0-2 Yrs,0.8155,0.5047,1,High Risk
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1878.0,Upto 5k,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0.0,1878,1,18-25,0-2 Yrs,0.9838,0.7511,1,High Risk
18,No,Non-Travel,287,Research & Development,5,2,Life Sciences,2,Male,73,3,1,Research Scientist,4,Single,1051.0,Upto 5k,13493,1,No,15,3,4,0,0,2,3,0,0,0,0.0,1051,0,18-25,0-2 Yrs,0.1586,0.5504,0,Low Risk
18,Yes,Non-Travel,247,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904.0,Upto 5k,13556,1,No,12,3,4,0,0,0,3,0,0,0,0.0,1904,1,18-25,0-2 Yrs,0.5174,0.7142,1,Medium Risk
18,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,4,Female,97,3,1,Laboratory Technician,4,Single,1611.0,Upto 5k,19305,1,No,15,3,3,0,0,5,4,0,0,0,0.0,1611,0,18-25,0-2 Yrs,0.0409,0.3844,0,Low Risk
18,Yes,Travel_Frequently,544,Sales,3,2,Medical,2,Female,70,3,1,Sales Representative,4,Single,1569.0,Upto 5k,18420,1,Yes,12,3,3,0,0,2,4,0,0,0,0.0,1569,1,18-25,0-2 Yrs,0.9686,0.8548,1,High Risk
18,No,Non-Travel,1431,Research & Development,14,3,Medical,2,Female,33,3,1,Research Scientist,3,Single,1514.0,Upto 5k,8018,1,No,16,3,3,0,0,4,1,0,0,0,0.0,1514,0,18-25,0-2 Yrs,0.1821,0.4382,0,Low Risk
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675.0,Upto 5k,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0.0,1675,1,18-25,0-2 Yrs,0.9652,0.7854,1,High Risk
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1483.0,Upto 5k,16102,1,No,14,3,4,0,1,3,3,1,0,0,0.0,1483,0,18-25,0-2 Yrs,0.526,0.4386,1,Medium Risk
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325.0,Upto 5k,20989,0,No,21,4,1,0,1,5,4,0,0,0,0.0,2325,1,18-25,0-2 Yrs,0.9542,0.781,1,High Risk
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102.0,Upto 5k,9241,1,No,22,4,3,0,1,3,2,1,0,1,0.0,1102,1,18-25,0-2 Yrs,0.6496,0.8216,1,Medium Risk
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564.0,Upto 5k,18437,1,No,12,3,3,0,1,3,4,1,0,0,0.0,2564,1,18-25,0-2 Yrs,0.7878,0.8661,1,High Risk
19,Yes,Travel_Rarely,419,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,2121.0,Upto 5k,9947,1,Yes,13,3,2,0,1,3,4,1,0,0,0.0,2121,1,18-25,0-2 Yrs,0.977,0.8664,1,High Risk
